iter	Passed	Remaining
455	849	1013
456	850	1010
457	851	1007
458	852	1005
459	853	1002
460	855	1000
461	857	998
462	858	995
463	859	993
464	860	990
465	862	988
466	863	985
467	864	982
468	865	980
469	866	977
470	867	974
471	868	971
472	870	969
473	871	967
474	873	965
475	874	962
476	875	959
477	876	956
478	877	954
479	878	951
480	879	949
481	880	946
482	881	943
483	882	941
484	883	938
485	885	936
486	887	934
487	888	932
488	889	929
489	890	927
490	891	924
491	893	922
492	894	919
493	895	917
494	896	914
495	897	912
496	899	909
497	901	908
498	902	906
499	903	903
500	904	901
501	905	898
502	906	896
503	908	893
504	909	891
505	910	888
506	911	886
507	912	883
508	914	882
509	916	880
510	917	877
511	918	875
512	919	872
513	920	870
514	921	867
515	922	865
516	923	863
517	925	860
518	926	858
519	927	855
520	928	853
521	930	851
522	931	849
523	932	847
524	934	845
525	935	842
526	936	840
527	937	838
528	938	835
529	939	833
530	940	831
531	942	828
532	943	826
533	945	824
534	946	822
535	947	820
536	948	817
537	949	815
538	950	813
539	951	810
540	953	808
541	954	806
542	955	804
543	956	801
544	957	799
545	959	797
546	960	795
547	961	793
548	962	790
549	963	788
550	964	786
551	965	783
552	966	781
553	968	779
554	969	777
555	970	774
556	971	772
557	972	770
558	974	768
559	976	766
560	977	764
561	978	762
562	979	760
563	980	758
564	981	755
565	983	753
566	984	751
567	985	749
568	986	747
569	987	745
570	989	743
571	990	741
572	991	739
573	992	736
574	994	734
575	995	732
576	996	730
577	997	728
578	998	726
579	999	723
580	1000	721
581	1001	719
582	1003	717
583	1005	715
584	1006	713
585	1007	711
586	1008	709
587	1009	707
588	1010	705
589	1011	703
590	1012	700
591	1013	698
592	1014	696
593	1015	694
594	1017	692
595	1019	690
596	1020	688
597	1021	686
598	1022	684
599	1024	682
600	1025	680
601	1026	678
602	1027	676
603	1028	674
604	1029	672
605	1031	670
606	1032	668
607	1034	666
608	1035	664
609	1036	662
610	1037	660
611	1038	658
612	1040	656
613	1041	654
614	1042	652
615	1043	650
616	1044	648
617	1045	646
618	1046	644
619	1048	642
620	1049	640
621	1050	638
622	1052	636
